dosen,judul
YOGHA RESTU PRAMADI,Forensic analysis of instagram on android
YOGHA RESTU PRAMADI,Comparison of lstm architecture for malware classification
YOGHA RESTU PRAMADI,Android malware detection using hybrid-based analysis &amp; deep neural network
YOGHA RESTU PRAMADI,Implementation of honeywords as a codeigniter library for a solution to password-cracking detection
YOGHA RESTU PRAMADI,Correlation Between Motivation and Achievement of Competencies in the Hands-On Learning Method
YOGHA RESTU PRAMADI,A study on windows-based ransomware implications on linux operating system using compatibility layer wine based on dynamic analysis
YOGHA RESTU PRAMADI,Implementation of salsa20 stream cipher algorithm as an alternative cipher suite SSL-VPN for VOIP security
YOGHA RESTU PRAMADI,Business process reengineering of an information exchange management system for a nationwide cyber threat intelligence
YOGHA RESTU PRAMADI,Garch Modeling for Volatil Data: Air Pollution Standard Index in DKI Jakarta as A Parameter in Secure Smart City Development
YOGHA RESTU PRAMADI,Implementation of incognito method and SHA-3 as an alternative to PIN selection in web login
YOGHA RESTU PRAMADI,Security Testing of a User-Participating Authentication Scheme Implementation on Web-Based Login System
TIYAS YULITA,"M-estimation use bisquare, hampel, huber, and welsch weight functions in robust regression"
TIYAS YULITA,Pemodelan Geographically Weighted Ridge Regression dan Geographically Weighted Lasso pada Data Spasial Dengan Multikolinieritas
TIYAS YULITA,Ridge and lasso performance in spatial data with heterogeneity and multicollinearity
TIYAS YULITA,Cyberaksi 3.0 Empowering Cybersecurity Skill
TIYAS YULITA,Model Comparison of Covid-19 in Lampung Indonesia
TIYAS YULITA,Implementasi transfer learning dalam mengklasifikasikan file malware berbasis gambar pada dataset Dumpware10
TIYAS YULITA,Security assessment pada sistem informasi manajemen kesehatan khanza berbasis static application security testing (SAST)
TIYAS YULITA,Uji penetrasi sistem keamanan berbasis OWASP web security testing guide (WSTG) V4. 2 dan NIST SP 800-115 pada layanan mail sanapati milik Badan Siber dan Sandi Negara
TIYAS YULITA,Analisis keamanan berbasis open web application security project (OWASP) Top 10 2021 pada aplikasi web Simantap online milik Pemerintah Kota Ambon
TIYAS YULITA,Analisis forensik digital aplikasi whatsapp business pada smartphone berbasis android menggunakan NIST SP 800-101 rev 1
TIYAS YULITA,Implementasi sistem passwordless dan multi factor authentication (MFA) untuk keamanan sistem login aplikasi berbasis android
TIYAS YULITA,Analisis Mylobot Malware dengan Menggunakan Pendekatan Hybrid Analysis
TIYAS YULITA,Analisis keamanan perangkat IoT smart home berdasarkan OWASP IoT security verification standard
TIYAS YULITA,Analisis Keamanan Aplikasi Website Simaniz Milik Pemerintah Kabupaten Bojonegoro Mengacu pada Open Web Application Security Project Top Ten 2021
TIYAS YULITA,Analisis kemampuan zeek dan suricata sebagai host-based intrusion detection system (HIDS) terhadap serangan denial of service (DoS) pada jaringan
TIYAS YULITA,Security Assessment Pada aplikasi Web Sipentas Milik Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu (DPMPTSP) Kota Tasikmalaya
TIYAS YULITA,Analisis forensik digital fitur disappearing message pada aplikasi instant messaging berbasis android berdasarkan NIST 800-101 rev 1
TIYAS YULITA,Peningkatan Kesadaran Keamanan Informasi Melalui Kegiatan Online Workshop Menggunakan Platform Quizizz
TIYAS YULITA,OmeTV Pretexting Phishing Attacks: A Case Study of Social Engineering
TIYAS YULITA,Spatial Panel Data Model of West Java&#39;s Regional Revenue
TIYAS YULITA,Generalized Linear Mixed Model Analysis of Acute Respiratory Infection Data on Children
I KOMANG SETIA BUANA,Jago pemrograman PHP
I KOMANG SETIA BUANA,Hybrid-based malware analysis for effective and efficiency android malware detection
I KOMANG SETIA BUANA,Implementasi aplikasi speech to text untuk memudahkan wartawan mencatat wawancara dengan python
I KOMANG SETIA BUANA,Penerapan Pengenalan Wajah Untuk Aplikasi Absensi dengan Metode Viola Jones dan Algoritam LBPH
I KOMANG SETIA BUANA,Aplikasi untuk pengoprasian komputer dengan mendeteksi gerakan menggunakan opencv python
I KOMANG SETIA BUANA,Aplikasi Website Interaktif untuk Deteksi Tumbuh Kembang Anak
I KOMANG SETIA BUANA,Jago pemrograman PHP. Dunia Komputer
I KOMANG SETIA BUANA,komang setia. 2014
I KOMANG SETIA BUANA,Android malware detection using hybrid-based analysis &amp; deep neural network
I KOMANG SETIA BUANA,Performance and security comparison of json web tokens (jwt) and platform agnostic security tokens (paseto) on restful apis
I KOMANG SETIA BUANA,Pemrograman Terstruktur
I KOMANG SETIA BUANA,Perlindungan Hukum Terhadap Anak Penyandang Disabilitas Yang Ditelantarkan Oleh Orang Tuanya
I KOMANG SETIA BUANA,Deteksi Gerakan Kepala Dan Kedipan Mata Dengan Haar Cascade Classifier Contour Dan Morfologi Dalam Pengoperasian Komputer Untuk Kaum Difable
I KOMANG SETIA BUANA,Aplikasi Kalkulator Air Solusi Untuk Mengetahui Kebutuhan Cairan Dalam Tubuh Berbasis Android
I KOMANG SETIA BUANA,Sosialisasi Kesadaran Keamanan Di Komunitas Langsungenak
I KOMANG SETIA BUANA,Rancang Bangun Aplikasi Pembelajaran Fisiologi Sistem Pernafasan Manusia Berbasis Augmented Reality Pada Android
I KOMANG SETIA BUANA,Aplikasi Informasi Objek Wisata Religi Kabupaten Gianyar Berbasis Multimedia Interaktif
I KOMANG SETIA BUANA,Pkm: Kelompok Pengerajin Berbahan Kertas Koran Di Desa Beraban Kecamatan Kediri Kabupaten Tabanan
I KOMANG SETIA BUANA,Perancangan Aplikasi Deteksi Api Dan Asap Untuk Mengetahui Kebakaran Secara Real-Time Dengan Pengolahan Citra Digital
I KOMANG SETIA BUANA,Struktur Data
I KOMANG SETIA BUANA,Perancangan Aplikasi Diagnosis Kadar Bilirubin Berdasarkan Ikterus Pada Bayi Dengan Acuan Kramer
I KOMANG SETIA BUANA,Aplikasi Komik Untuk Toilet Training Berbasis Android
I KOMANG SETIA BUANA,Secure Mobile Application for Uniform Resource Locator (URL) Phising Detection based on Deep Learning
I KOMANG SETIA BUANA,Attendance System Using Two Factor Authentication Based on Secure App with Flutter
I KOMANG SETIA BUANA,Penerapan Gamifikasi dan Personal Extreme Programming pada Aplikasi Ensiklopedia terkait Secure Coding Berbasis Android
I KOMANG SETIA BUANA,Deteksi Serangan Spoofing Wajah Menggunakan Convolutional Neural Network
I KOMANG SETIA BUANA,Performance Comparison of Feature Extraction and Machine Learning Classification Algorithms for Face Recognition
I KOMANG SETIA BUANA,Aplikasi Untuk Menggerakan Cursor Dengan Deteksi Kepala Secara Real-Time Menggunakan Metode Optical Flow Dan Sift. STMIK STIKOM Bali
I KOMANG SETIA BUANA,Aplikasi Mendeteksi Gerakan Tangan untuk Bermain Game Pingpong dengan Teknik Pengolahan Citra
I KOMANG SETIA BUANA,Pembelajaran Anti Phising Melalui Media Edukasi Berupa Game Framework Di SMK Negeri 1 Negara
I KOMANG SETIA BUANA,Perbandingan Performa dan Keamanan Json Web Token (JWT) dan Platform Agnostic Security Tokens (PASETO) pada Restful API
I KOMANG SETIA BUANA,Rancang Bangun Secure and Distributed Hoax News Dataset Repository Website Menggunakan Blockchain
I KOMANG SETIA BUANA,Penerapan Model Digital Evidence Semantic Ontology (DESO) dengan SPARQL dalam Pengujian Relevansi Bukti Digital pada Penyimpanan Internal Smartphone Berbasis Android OS
I KOMANG SETIA BUANA,Classic Cipher Game Berbasis Mobile Application Sebagai Alat Bantu Ajar Mata Kuliah Pengantar Persandian Taruna Poltek SSN
I KOMANG SETIA BUANA,Penerapan Tanda Tangan Digital dan Secure Coding Berdasarkan OWASP pada Sistem E-Control Tugas Akhir
I KOMANG SETIA BUANA,Rancang bangun cyber security maturity (CSM) tools multi-platform app sebagai inovasi layanan Direktorat Keamanan Siber dan Sandi Industri
I KOMANG SETIA BUANA,Implementasi Game-Based Learning Berbasis Android untuk Meningkatkan Security Awareness Dari Serangan Social Engineering dengan Menerapkan Octalysis Gamification Framework
I KOMANG SETIA BUANA,Author’s Index
I KOMANG SETIA BUANA,Analysis of Centralized vs Decentralized Electronic Voting
I KOMANG SETIA BUANA,Garch Modeling for Volatil Data: Air Pollution Standard Index in DKI Jakarta as A Parameter in Secure Smart City Development
I KOMANG SETIA BUANA,Modified RNP Privacy Protection Data Mining Method as Big Data Security
I KOMANG SETIA BUANA,Pengaruh Model Problem Based Learning Berlandaskan Catur Pramana Terhadap Keterampilan Berpikir Kritis Matematika dengan Mengontrol Kemampuan Numerik Siswa Kelas V di SD Gugus …
I KOMANG SETIA BUANA,PENGARUH SUASANA TOKO DAN HARGA TERHADAP KEPUTUSAN PEMBELIAN PADA RENTAL PLAY STATION CINE
I KOMANG SETIA BUANA,Pengaruh Model Discovery Learning berbantuan Multimedia Interaktif Terhadap Kompetensi Pengetahuan PPKn Siswa Kelas IV SD Gugus I Gusti Ketut Pudja Kecamatan Denpasar Selatan
I KOMANG SETIA BUANA,Perancangan Aplikasi pengolahan citra mata menjadi citra iris mata menggunakan teknik pengolahan citra
I KOMANG SETIA BUANA,SISTEM INFORMASI MANAJEMEN PENGELUARAN BIAYA KEGIATAN PROYEK PEMBANGUNAN PADA CV. AMARTHA BERBASIS WEB DAN MOBILE
I KOMANG SETIA BUANA,APLIKASI TUTORIAL EDUKASI RESUSITASI JANTUNG-PARU (RJP) DAN INFORMASI LOKASI RUMAH SAKIT DI KOTA DENPASAR BERBASIS ANDROID
I KOMANG SETIA BUANA,APLIKASI PELAPORAN INCIDENT DAN ACCIDENT DI PT. ANGKASA PURA I (PERSERO) BANDARA I GUSTI NGURAH RAI
I KOMANG SETIA BUANA,APLIKASI BUKU ANIMASI SEJARAH BARONG LANDUNG BERBASIS MULTIMEDIA
I KOMANG SETIA BUANA,RANCANG BANGUN GAME JOURNEY KING OF BULELENG MENGGUNAKAN BAHASA LUA BERBASIS ANDROID
