dosen,judul
GIRINOTO,Analisis Pola Penyebaran Informasi Insiden Kebocoran Data Melalui Pendekatan Social Network Analysis (SNA)
GIRINOTO,Analisis Log Web Server dengan Pendekatan Algoritme K-Means Clustering dan Feature Importance
GIRINOTO,Implementasi Deteksi Judul Berita Clickbait Berbahasa Indonesia dengan pre-trained model Multilingual BERT Pada Aplikasi Berbasis Chrome Extension
NANANG TRIANTO,Analisis Malware Menggunakan Metode Analisis Statis dan Dinamis untuk Pembuatan IOC Berdasarkan STIX Versi 2.1
ARIZAL,Metode Prototype pada Sistem Informasi Manajemen Tugas Akhir Mahasiswa Berbasis Website
ARIZAL,Feature Selection Correlation-Based pada Prediksi Nasabah Bank Telemarketing untuk Deposito
ARIZAL,Komunikasi Data
ARIZAL,Sistem Informasi Manajemen Wisuda Berbasis Website Menggunakan Metode Waterfall
SANTI INDARJANI,ALGEBRAIC ATTACK PADA SIMPLIFIED DATA ENCRYPTION STANDARD (S-DES)
SANTI INDARJANI,EFEK SERANGAN PENYISIPAN DAN MODIFIKASI PADA PSEUDORANDOM NUMBER GENERATOR BERDASARKAN STUDI EMPIRIS DAN TEORITIS
DESI MARLENA,STUDI LITERATUR PENERAPAN AUGMENTED REALITY PADA PENDIDIKAN
DESI MARLENA,Analisis Forensik Drone Menggunakan Metode Clark et al. dan Renduchintala et al.(Studi Kasus: DJI Phantom 3 Standard)
DESI MARLENA,Implementasi Algoritme AES-256 pada Sistem Pemantauan Getaran Gempa Bumi Menggunakan Perangkat LoRa dan Antena Yagi Untuk Pengiriman Informasi Darurat yang Aman
RADEN BUDIARTO HADIPRAKOSO,Manajemen Risiko Keamanan Sistem Informasi Menggunakan Metode FMEA Dan ISO 27001 Pada Organisasi XYZ
RADEN BUDIARTO HADIPRAKOSO,"Analisis faktor adopsi aplikasi mobile berdasarkan pengalaman, usia dan jenis kelamin menggunakan UTAUT2"
RADEN BUDIARTO HADIPRAKOSO,Pemrograman Berorientasi Objek: Teori dan implementasi dengan Java
RADEN BUDIARTO HADIPRAKOSO,Penerapan Metode FMEA Untuk Keamanan Sistem Informasi (Studi Kasus Website POLRI)
RADEN BUDIARTO HADIPRAKOSO,Identifikasi Malware Android Menggunakan Pendekatan Analisis Hibrid Dengan Deep Learning
RADEN BUDIARTO HADIPRAKOSO,Kinerja Algoritme Pengenalan Wajah untuk Sistem Penguncian Pintu Otomatis Menggunakan Raspberry-Pi
RADEN BUDIARTO HADIPRAKOSO,Pengembangan Aplikasi Registrasi Rawat Jalan Pasien Rsud Menggunakan Perangkat Android
RADEN BUDIARTO HADIPRAKOSO,Deteksi masker wajah menggunakan deep transfer learning dan augmentasi gambar
RADEN BUDIARTO HADIPRAKOSO,Sistem Basis Data: Perancangan dan Implementasi
RADEN BUDIARTO HADIPRAKOSO,Rancang Bangun Aplikasi PDF Signer Berbasis Android pada PDAM Kabupaten Tuban
RADEN BUDIARTO HADIPRAKOSO,Rancang Bangun Aplikasi Gamifikasi Untuk Meningkatkan Kesadaran Keamanan Siber
RADEN BUDIARTO HADIPRAKOSO,Deteksi Serangan Spoofing Wajah Menggunakan Convolutional Neural Network
RADEN BUDIARTO HADIPRAKOSO,Rancang Bangun Aplikasi Rekapitulasi Obat dengan Menerapkan Tanda Tangan Digital
RADEN BUDIARTO HADIPRAKOSO,Rancang Bangun Aplikasi COOL: REST API Untuk Learning Management System
RADEN BUDIARTO HADIPRAKOSO,Penerapan Gamifikasi dan Personal Extreme Programming pada Aplikasi Ensiklopedia terkait Secure Coding Berbasis Android
RADEN BUDIARTO HADIPRAKOSO,Implementasi Pola Desain Dekorator Untuk Meningkatkan Efisiensi Algoritme Kode Program
RADEN BUDIARTO HADIPRAKOSO,Rancang bangun aplikasi rekapitulasi obat Poliklinik Poltek SSN berbasis website dengan menerapkan fungsi hash dan tanda tangan digital
RADEN BUDIARTO HADIPRAKOSO,Implementasi Semantic-Aware Model Checker Untuk Mendeteksi Deep Bugs Pada Paxos Protocol Apache Cassandra
RADEN BUDIARTO HADIPRAKOSO,Penerapan Metode FMEA Untuk Keamanan Sistem Informasi (Studi Kasus Website POLRI): Array
RADEN BUDIARTO HADIPRAKOSO,Penerapan Kecerdasan Buatan Pada Games Puzzle  dengan Menggunakan Flash Action Script
RADEN BUDIARTO HADIPRAKOSO,"Google AdSense, Langkah Mudah Meraup Dollar Lewat Internet"
RADEN BUDIARTO HADIPRAKOSO,Pengantar Teknologi Informasi &amp; Komunikasi
RADEN BUDIARTO HADIPRAKOSO,ANALISIS STATIS DETEKSI MALWARE ANDROID MENGGUNAKAN ALGORITMA SUPERVISED MACHINE LEARNING
RADEN BUDIARTO HADIPRAKOSO,Analisis Perbandingan Pencarian Depth First Search pada Graf dengan Algoritma Rekursif dan Non-Rekursif Comparison Analysis of DFS on Graph with Recursive and Non-Recursive 
TIYAS YULITA,Pemodelan Geographically Weighted Ridge Regression dan Geographically Weighted Lasso pada Data Spasial Dengan Multikolinieritas
TIYAS YULITA,Peningkatan Kesadaran Keamanan Informasi Melalui Kegiatan Online Workshop Menggunakan Platform Quizizz
DION OGI,Implementasi Algoritme Shor pada Sirkuit Kuantum untuk Cracking Algoritme RSA
DION OGI,Studi kinerja algoritma paralel dengan MPICH2 dan Cilk++ pada prosesor multicore
DIMAS FEBRIYAN PRIAMBODO,Sosialisasi Kesadaran Keamanan Di Komunitas Langsungenak
DIMAS FEBRIYAN PRIAMBODO,"Analisis Komparatif Keamanan Aplikasi Pengelola Kata Sandi Berbayar Lastpass, 1Password, dan Keeper Berdasarkan ISO/IEC 25010"
